"species","file","code","time","start","end","cut","file.cut"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","wag",0.14,0.12,0.16,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","song",0.282,0.282,0.432,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","wag",0.5,0.48,0.52,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","wag",0.8,0.78,0.82,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","song",1.007,1.007,1.157,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","wag",1.1,1.08,1.12,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","wag",1.4,1.38,1.42,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","wag",1.711,1.691,1.731,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","song",1.881,1.881,2.031,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","wag",1.945,1.925,1.965,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","wag",2.307,2.287,2.327,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","song",2.606,2.606,2.756,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","wag",2.606,2.586,2.626,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","wag",2.841,2.821,2.861,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","wag",3.14,3.12,3.16,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","song",3.416,3.416,3.566,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","wag",3.44,3.42,3.46,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","wag",3.74,3.72,3.76,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","wag",4.04,4.02,4.06,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","song",4.29,4.29,4.44,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","wag",4.34,4.32,4.36,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","wag",4.64,4.62,4.66,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","wag",5,4.98,5.02,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","song",5.015,5.015,5.165,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","wag",5.25,5.23,5.27,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","wag",5.484,5.464,5.504,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","wag",5.783,5.763,5.803,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","song",5.974,5.974,6.124,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","wag",6.081,6.061,6.101,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","wag",6.38,6.36,6.4,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","wag",6.68,6.66,6.7,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","song",6.934,6.934,7.084,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","wag",6.98,6.96,7,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","wag",7.28,7.26,7.3,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","wag",7.58,7.56,7.6,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","wag",7.88,7.86,7.9,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","song",7.893,7.893,8.043,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","wag",8.24,8.22,8.26,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","wag",8.6,8.58,8.62,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","song",8.682,8.682,8.832,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","wag",8.84,8.82,8.86,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","wag",9.087,9.067,9.107,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","wag",9.385,9.365,9.405,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","song",9.492,9.492,9.642,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","wag",9.684,9.664,9.704,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","wag",10.046,10.026,10.066,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","song",10.132,10.132,10.282,1,"entry0001_2016-06-10T103226_250.csv-1"
"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","wag",10.281,10.261,10.301,1,"entry0001_2016-06-10T103226_250.csv-1"
