"code","time","rate","species","file","file.cut"
"song",0,1.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"wag",0,3.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"song",1.6,1,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"wag",1.6,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"song",3.2,1,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"wag",3.2,3.75,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"song",4.8,1.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"wag",4.8,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"song",6.4,1.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"wag",6.4,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"song",8,1.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"wag",8,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"song",9.6,1,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"wag",9.6,3.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"song",11.2,1,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"wag",11.2,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"song",12.8,1.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"wag",12.8,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"song",14.4,1.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"wag",14.4,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"song",16,1.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"wag",16,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"song",17.6,1,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"wag",17.6,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"song",19.2,1,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"wag",19.2,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"song",20.8,1.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"wag",20.8,3.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"song",22.4,1,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"wag",22.4,3.5,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"song",24,1,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"wag",24,3.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"song",25.6,1.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"wag",25.6,3.25,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"song",26.4135,1.23609394313968,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"wag",26.4135,3.29625051503914,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"song",27.2135,1.20918984280532,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"wag",27.2135,3.62756952841597,"Phaethornis yaruqui","entry0001_2016-06-10T103226_250.csv","entry0001_2016-06-10T103226_250.csv-2"
"song",0,1.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"wag",0,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"song",1.6,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"wag",1.6,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"song",3.2,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"wag",3.2,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"song",4.8,1.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"wag",4.8,3.5,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"song",6.4,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"wag",6.4,3.5,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"song",8,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"wag",8,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"song",9.6,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"wag",9.6,3.5,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"song",11.2,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"wag",11.2,3.5,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"song",12.8,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
