time,code,class
0.367,voice_start,1
0.868,voice_start,1
1.37,voice_start,1
1.802,voice_start,1
2.309,voice_start,1
2.836,voice_start,1
3.269,voice_start,1
3.845,voice_start,1
4.272,voice_start,1
4.805,voice_start,1
5.239,voice_start,1
5.84,voice_start,1
6.341,voice_start,1
6.874,voice_start,1
7.374,voice_start,1
7.908,voice_start,1
8.342,voice_start,1
8.842,voice_start,1
9.349,voice_start,1
0.475,tail_up,2
0.901,tail_up,2
1.434,tail_up,2
2.437,tail_up,2
2.778,tail_up,2
2.97,tail_up,2
3.205,tail_up,2
3.546,tail_up,2
3.804,tail_up,2
4.144,tail_up,2
4.505,tail_up,2
4.741,tail_up,2
5.005,tail_up,2
5.509,tail_up,2
6.039,tail_up,2
6.277,tail_up,2
6.54,tail_up,2
6.974,tail_up,2
7.216,tail_up,2
7.474,tail_up,2
7.813,tail_up,2
8.075,tail_up,2
8.41,tail_up,2
8.581,tail_up,2
9.009,tail_up,2
9.276,tail_up,2
9.52,tail_up,2
9.777,tail_up,2
10.309,tail_up,2
10.244,interaction start,4
33.467, interaction end,4
