time,code,class
0.304,voice_start,1
1.001,voice_start,1
1.669,voice_start,1
2.369,voice_start,1
3.037,voice_start,1
3.637,voice_start,1
4.314,voice_start,1
4.912,voice_start,1
5.939,voice_start,1
6.64,voice_start,1
7.308,voice_start,1
7.908,voice_start,1
8.509,voice_start,1
9.109,voice_start,1
9.61,voice_start,1
10.21,voice_start,1
10.885,voice_start,1
11.579,voice_start,1
12.179,voice_start,1
12.78,voice_start,1
13.447,voice_start,1
14.148,voice_start,1
14.815,voice_start,1
15.749,voice_start,1
16.35,voice_start,1
17.05,voice_start,1
17.718,voice_start,1
18.394,voice_start,1
22.064,voice_start,1
23.09,voice_start,1
0.41,tail_up,2
0.768,tail_up,2
1.008,tail_up,2
1.535,tail_up,2
1.776,tail_up,2
2.136,tail_up,2
2.373,tail_up,2
2.971,tail_up,2
3.571,tail_up,2
3.837,tail_up,2
4.171,tail_up,2
4.438,tail_up,2
4.772,tail_up,2
5.039,tail_up,2
5.616,tail_up,2
5.873,tail_up,2
6.14,tail_up,2
6.405,tail_up,2
6.64,tail_up,2
6.907,tail_up,2
7.173,tail_up,2
7.408,tail_up,2
8.108,tail_up,2
8.709,tail_up,2
8.944,tail_up,2
9.209,tail_up,2
9.543,tail_up,2
9.81,tail_up,2
10.053,tail_up,2
10.411,tail_up,2
11.078,tail_up,2
11.679,tail_up,2
12.279,tail_up,2
12.613,tail_up,2
12.955,tail_up,2
13.214,tail_up,2
13.647,tail_up,2
14.081,tail_up,2
14.415,tail_up,2
14.748,tail_up,2
15.182,tail_up,2
15.516,tail_up,2
15.95,tail_up,2
16.55,tail_up,2
16.984,tail_up,2
17.392,tail_up,2
17.584,tail_up,2
17.918,tail_up,2
18.252,tail_up,2
18.586,tail_up,2
18.853,tail_up,2
19.354,tail_up,2
19.887,tail_up,2
20.122,tail_up,2
20.654,tail_up,2
20.891,tail_up,2
21.422,tail_up,2
21.922,tail_up,2
22.189,tail_up,2
22.427,tail_up,2
19.72,interaction start,4
23.491, interaction end,4
24.496,END,0
