time,code,class
0.18,voice_start,1
1.22,voice_start,1
2.585,voice_start,1
5.228,voice_start,1
7.3,voice_start,1
8.511,voice_start,1
9.79,voice_start,1
10.665,voice_start,1
11.54,voice_start,1
12.264,voice_start,1
13.074,voice_start,1
14.374,voice_start,1
15.333,voice_start,1
16.293,voice_start,1
17.402,voice_start,1
18.28,voice_start,1
19.64,voice_start,1
20.92,voice_start,1
22.049,voice_start,1
23.243,voice_start,1
24.202,voice_start,1
25.482,voice_start,1
26.612,voice_start,1
29.404,voice_start,1
30.534,voice_start,1
31.643,voice_start,1
32.84,voice_start,1
33.967,voice_start,1
35.011,voice_start,1
36.12,voice_start,1
37.016,voice_start,1
37.975,voice_start,1
38.68,voice_start,1
0.304,tail_up,2
0.602,tail_up,2
0.9,tail_up,2
1.2,tail_up,2
1.391,tail_up,2
1.74,tail_up,2
1.988,tail_up,2
2.286,tail_up,2
2.585,tail_up,2
2.82,tail_up,2
3.182,tail_up,2
3.42,tail_up,2
3.72,tail_up,2
4.08,tail_up,2
4.32,tail_up,2
4.62,tail_up,2
4.93,tail_up,2
5.28,tail_up,2
5.463,tail_up,2
5.761,tail_up,2
6.06,tail_up,2
6.3,tail_up,2
6.6,tail_up,2
6.9,tail_up,2
7.211,tail_up,2
7.509,tail_up,2
7.808,tail_up,2
8.042,tail_up,2
8.341,tail_up,2
8.64,tail_up,2
8.92,tail_up,2
9.22,tail_up,2
9.52,tail_up,2
9.82,tail_up,2
10.18,tail_up,2
10.48,tail_up,2
10.78,tail_up,2
11.091,tail_up,2
11.5,tail_up,2
11.74,tail_up,2
12.05,tail_up,2
12.285,tail_up,2
12.52,tail_up,2
12.82,tail_up,2
13.06,tail_up,2
13.308,tail_up,2
13.607,tail_up,2
13.841,tail_up,2
14.14,tail_up,2
14.38,tail_up,2
14.68,tail_up,2
14.98,tail_up,2
15.291,tail_up,2
15.525,tail_up,2
15.76,tail_up,2
16.06,tail_up,2
16.36,tail_up,2
16.66,tail_up,2
16.96,tail_up,2
17.26,tail_up,2
17.56,tail_up,2
17.871,tail_up,2
18.105,tail_up,2
18.404,tail_up,2
18.766,tail_up,2
19.065,tail_up,2
19.363,tail_up,2
19.661,tail_up,2
19.9,tail_up,2
20.2,tail_up,2
20.5,tail_up,2
20.8,tail_up,2
21.1,tail_up,2
21.346,tail_up,2
21.644,tail_up,2
21.943,tail_up,2
22.18,tail_up,2
22.54,tail_up,2
22.78,tail_up,2
23.08,tail_up,2
23.38,tail_up,2
23.627,tail_up,2
23.925,tail_up,2
24.224,tail_up,2
24.522,tail_up,2
24.821,tail_up,2
25.12,tail_up,2
25.42,tail_up,2
25.66,tail_up,2
25.96,tail_up,2
26.249,tail_up,2
26.548,tail_up,2
26.782,tail_up,2
27.081,tail_up,2
27.32,tail_up,2
27.68,tail_up,2
27.98,tail_up,2
28.28,tail_up,2
28.58,tail_up,2
28.88,tail_up,2
29.24,tail_up,2
29.49,tail_up,2
29.724,tail_up,2
30.023,tail_up,2
30.321,tail_up,2
30.56,tail_up,2
30.92,tail_up,2
31.16,tail_up,2
31.52,tail_up,2
31.771,tail_up,2
32.069,tail_up,2
32.304,tail_up,2
32.602,tail_up,2
32.901,tail_up,2
33.2,tail_up,2
33.44,tail_up,2
33.8,tail_up,2
34.04,tail_up,2
34.35,tail_up,2
34.649,tail_up,2
34.884,tail_up,2
35.182,tail_up,2
35.48,tail_up,2
35.78,tail_up,2
36.02,tail_up,2
36.32,tail_up,2
36.62,tail_up,2
36.921,tail_up,2
37.229,tail_up,2
37.527,tail_up,2
37.762,tail_up,2
38.06,tail_up,2
38.486,tail_up,2
38.721,tail_up,2
38.56,confounding behav start,3
38.98, confounding behav end,3
39.28,END,0
