time,code,class
0.52,voice_start,1
1.413,voice_start,1
2.373,voice_start,1
3.248,voice_start,1
4.208,voice_start,1
5.082,voice_start,1
6.043,voice_start,1
6.768,voice_start,1
7.493,voice_start,1
8.283,voice_start,1
9.008,voice_start,1
10.053,voice_start,1
10.693,voice_start,1
0.84,tail_up,2
1.648,tail_up,2
2.523,tail_up,2
3.4,tail_up,2
4.442,tail_up,2
5.32,tail_up,2
5.722,tail_up,2
5.96,tail_up,2
6.213,tail_up,2
7.003,tail_up,2
7.322,tail_up,2
7.643,tail_up,2
7.88,tail_up,2
8.133,tail_up,2
8.453,tail_up,2
8.688,tail_up,2
8.923,tail_up,2
9.16,tail_up,2
9.48,tail_up,2
9.648,tail_up,2
9.968,tail_up,2
10.202,tail_up,2
10.44,tail_up,2
12.83,END,0
